department,day,team,smv,over_time,incentive,idle_time,idle_men,no_of_workers,productivity_met
sweing,Thursday,8,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',yes
finishing,Thursday,1,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
sweing,Thursday,11,'\'(4.45-11.51]\'','\'(3375-4110]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(17.5-49.5]\'',yes
sweing,Thursday,12,'\'(4.45-11.51]\'','\'(3375-4110]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(17.5-49.5]\'',yes
sweing,Thursday,6,'\'(22.735-26.41]\'','\'(1500-2220]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
sweing,Thursday,7,'\'(22.735-26.41]\'','\'(6630-6870]\'','\'(10.5-39]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
finishing,Thursday,2,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
sweing,Thursday,3,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(56.75-57.75]\'',yes
sweing,Thursday,2,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(10.5-39]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',yes
sweing,Thursday,1,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(56.75-57.75]\'',yes
sweing,Thursday,9,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(56.75-57.75]\'',yes
sweing,Thursday,10,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(49.5-56.75]\'',no
sweing,Thursday,5,'\'(4.45-11.51]\'','\'(3375-4110]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(17.5-49.5]\'',no
finishing,Thursday,10,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
finishing,Thursday,8,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',no
finishing,Thursday,4,'\'(3.92-4.01]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(17.5-49.5]\'',no
finishing,Thursday,7,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',no
sweing,Thursday,4,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(57.75-inf)\'',no
finishing,Thursday,11,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(8.5-17.5]\'',no
finishing,Saturday,4,'\'(4.01-4.45]\'','\'(5730-6630]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(17.5-49.5]\'',yes
finishing,Saturday,11,'\'(-inf-3.92]\'','\'(4110-5730]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(8.5-17.5]\'',yes
finishing,Saturday,9,'\'(4.01-4.45]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'','\'(-inf-8.5]\'',yes
