quarter,department,day,targeted_productivity,smv,over_time,incentive,no_of_workers,productivity_met
Quarter1,sweing,Thursday,0.8,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter1,finishing,Thursday,0.75,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,sweing,Thursday,0.8,'\'(4.45-11.51]\'','\'(3375-4110]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',yes
Quarter1,sweing,Thursday,0.8,'\'(4.45-11.51]\'','\'(3375-4110]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',yes
Quarter1,sweing,Thursday,0.8,'\'(22.735-26.41]\'','\'(1500-2220]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter1,sweing,Thursday,0.8,'\'(22.735-26.41]\'','\'(6630-6870]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter1,finishing,Thursday,0.75,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,sweing,Thursday,0.75,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(39-49.5]\'','\'(56.75-57.75]\'',yes
Quarter1,sweing,Thursday,0.75,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter1,sweing,Thursday,0.75,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(39-49.5]\'','\'(56.75-57.75]\'',yes
Quarter1,sweing,Thursday,0.7,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(39-49.5]\'','\'(56.75-57.75]\'',yes
Quarter1,sweing,Thursday,0.75,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(39-49.5]\'','\'(49.5-56.75]\'',no
Quarter1,sweing,Thursday,0.8,'\'(4.45-11.51]\'','\'(3375-4110]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',no
Quarter1,finishing,Thursday,0.65,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,finishing,Thursday,0.75,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter1,finishing,Thursday,0.75,'\'(3.92-4.01]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(17.5-49.5]\'',no
Quarter1,finishing,Thursday,0.8,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter1,sweing,Thursday,0.65,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(-inf-10.5]\'','\'(57.75-inf)\'',no
Quarter1,finishing,Thursday,0.7,'\'(4.01-4.45]\'','\'(1380-1500]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',no
Quarter1,finishing,Saturday,0.8,'\'(4.01-4.45]\'','\'(5730-6630]\'','\'(-inf-10.5]\'','\'(17.5-49.5]\'',yes
Quarter1,finishing,Saturday,0.75,'\'(-inf-3.92]\'','\'(4110-5730]\'','\'(-inf-10.5]\'','\'(8.5-17.5]\'',yes
Quarter1,finishing,Saturday,0.8,'\'(4.01-4.45]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,finishing,Saturday,0.75,'\'(3.92-4.01]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,finishing,Saturday,0.8,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,sweing,Saturday,0.8,'\'(26.41-29.75]\'','\'(5730-6630]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter1,sweing,Saturday,0.8,'\'(26.41-29.75]\'','\'(5730-6630]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter1,sweing,Saturday,0.8,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'','\'(57.75-inf)\'',yes
Quarter1,sweing,Saturday,0.8,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(62.5-inf)\'','\'(57.75-inf)\'',yes
Quarter1,sweing,Saturday,0.8,'\'(11.51-18.505]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',yes
Quarter1,sweing,Saturday,0.8,'\'(11.51-18.505]\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',yes
Quarter1,sweing,Saturday,0.8,'\'(22.735-26.41]\'','\'(6630-6870]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter1,sweing,Saturday,0.8,'\'(22.735-26.41]\'','\'(6630-6870]\'','\'(10.5-39]\'','\'(49.5-56.75]\'',yes
Quarter1,sweing,Saturday,0.75,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(49.5-62.5]\'','\'(49.5-56.75]\'',yes
Quarter1,finishing,Saturday,0.8,'\'(4.01-4.45]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter1,sweing,Saturday,0.75,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(39-49.5]\'','\'(49.5-56.75]\'',yes
Quarter1,finishing,Saturday,0.7,'\'(4.01-4.45]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,sweing,Saturday,0.7,'\'(22.735-26.41]\'','\'(10290-inf)\'','\'(-inf-10.5]\'','\'(57.75-inf)\'',yes
Quarter1,sweing,Saturday,0.7,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(39-49.5]\'','\'(56.75-57.75]\'',no
Quarter1,finishing,Saturday,0.8,'\'(-inf-3.92]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter1,finishing,Saturday,0.8,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',no
Quarter1,finishing,Sunday,0.75,'\'(4.01-4.45]\'','\'(1500-2220]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,finishing,Sunday,0.8,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,finishing,Sunday,0.8,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-8.5]\'',yes
Quarter1,sweing,Sunday,0.8,'\'(11.51-18.505]\'','\'(6870-6997.5]\'','\'(49.5-62.5]\'','\'(17.5-49.5]\'',yes
