department,team,targeted_productivity,smv,over_time,incentive,no_of_style_change,no_of_workers,productivity_met
sweing,5,0.7,'\'(29.75-inf)\'','\'(6870-6997.5]\'','\'(-inf-10.5]\'',0,'\'(57.75-inf)\'',no
sweing,11,0.75,'\'(29.75-inf)\'','\'(9630-10290]\'','\'(49.5-62.5]\'',0,'\'(56.75-57.75]\'',yes
finishing,11,0.75,'\'(-inf-3.92]\'','\'(4110-5730]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',yes
finishing,2,0.8,'\'(3.92-4.01]\'','\'(1500-2220]\'','\'(-inf-10.5]\'',0,'\'(17.5-49.5]\'',yes
sweing,11,0.7,'\'(4.45-11.51]\'','\'(1500-2220]\'','\'(10.5-39]\'',2,'\'(49.5-56.75]\'',no
sweing,7,0.8,'\'(29.75-inf)\'','\'(6997.5-9630]\'','\'(49.5-62.5]\'',2,'\'(57.75-inf)\'',yes
finishing,2,0.8,'\'(3.92-4.01]\'','\'(1500-2220]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',yes
finishing,5,0.7,'\'(4.01-4.45]\'','\'(-inf-930]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',no
finishing,2,0.8,'\'(4.45-11.51]\'','\'(3375-4110]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',no
finishing,1,0.8,'\'(3.92-4.01]\'','\'(1020-1380]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',yes
finishing,2,0.75,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',no
sweing,3,0.8,'\'(29.75-inf)\'','\'(6870-6997.5]\'','\'(62.5-inf)\'',1,'\'(57.75-inf)\'',yes
finishing,4,0.8,'\'(3.92-4.01]\'','\'(4110-5730]\'','\'(-inf-10.5]\'',0,'\'(17.5-49.5]\'',yes
finishing,9,0.8,'\'(3.92-4.01]\'','\'(1380-1500]\'','\'(-inf-10.5]\'',0,'\'(-inf-8.5]\'',yes
sweing,10,0.7,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(39-49.5]\'',0,'\'(56.75-57.75]\'',no
sweing,1,0.75,'\'(26.41-29.75]\'','\'(6997.5-9630]\'','\'(39-49.5]\'',0,'\'(57.75-inf)\'',yes
sweing,1,0.65,'\'(26.41-29.75]\'','\'(6630-6870]\'','\'(62.5-inf)\'',0,'\'(56.75-57.75]\'',yes
finishing,7,0.8,'\'(4.45-11.51]\'','\'(6997.5-9630]\'','\'(-inf-10.5]\'',0,'\'(17.5-49.5]\'',no
finishing,5,0.7,'\'(4.01-4.45]\'','\'(2220-3375]\'','\'(-inf-10.5]\'',0,'\'(8.5-17.5]\'',yes
sweing,10,0.8,'\'(22.19-22.735]\'','\'(6630-6870]\'','\'(62.5-inf)\'',0,'\'(49.5-56.75]\'',yes
