quarter,department,day,team,targeted_productivity,smv,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,productivity_met
Quarter1,sweing,Thursday,8,0.8,'\'(22.735-26.41]\'','\'(6997.5-9630]\'','\'(62.5-inf)\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(57.75-inf)\'',1
Quarter1,finishing,Thursday,1,0.75,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,sweing,Thursday,11,0.8,'\'(4.45-11.51]\'','\'(3375-4110]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(17.5-49.5]\'',1
Quarter1,sweing,Thursday,12,0.8,'\'(4.45-11.51]\'','\'(3375-4110]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(17.5-49.5]\'',1
Quarter1,sweing,Thursday,6,0.8,'\'(22.735-26.41]\'','\'(1500-2220]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,sweing,Thursday,7,0.8,'\'(22.735-26.41]\'','\'(6630-6870]\'','\'(10.5-39]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,finishing,Thursday,2,0.75,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
Quarter1,sweing,Thursday,3,0.75,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(56.75-57.75]\'',1
Quarter1,sweing,Thursday,2,0.75,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(10.5-39]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',1
Quarter1,sweing,Thursday,1,0.75,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(56.75-57.75]\'',1
Quarter1,sweing,Thursday,9,0.7,'\'(26.41-29.75]\'','\'(6870-6997.5]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(56.75-57.75]\'',1
Quarter1,sweing,Thursday,10,0.75,'\'(18.505-22.19]\'','\'(5730-6630]\'','\'(39-49.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(49.5-56.75]\'',0
Quarter1,sweing,Thursday,5,0.8,'\'(4.45-11.51]\'','\'(3375-4110]\'','\'(49.5-62.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(17.5-49.5]\'',0
Quarter1,finishing,Thursday,10,0.65,'\'(3.92-4.01]\'','\'(930-1020]\'','\'(-inf-10.5]\'','\'(-inf-1]\'','\'(-inf-5]\'',0,'\'(-inf-8.5]\'',1
